sample_id,image_id,gt_area,surface_area,edge_area,area_delta_edge_minus_surface,change_pixels,surface_dice,edge_dice,dice_delta_edge_minus_surface
forged__10296,10296,5698,11007,11305,298,3140,0.3695899431307992,0.3613479974122214,-0.008241945718577781
forged__46698,46698,8106,8898,7813,-1085,3127,0.8055751587861679,0.7310760726176267,-0.07449908616854117
forged__45878,45878,2542,11266,9737,-1529,3093,0.3437137891077636,0.2843879794771561,-0.05932580963060752
forged__40373,40373,15479,15895,15638,-257,3071,0.8914387709568432,0.9215541343959893,0.030115363439146114
forged__32201,32201,4004,5907,5175,-732,2962,0.3979416809605489,0.43294476522497005,0.03500308426442117
forged__13451,13451,20734,27509,29263,1754,2954,0.8578239330058247,0.8292897573854431,-0.02853417562038163
forged__2228,2228,3738,5465,5033,-432,2936,0.04042160165163534,0.06635503363356515,0.025933431981929815
forged__414,414,7496,10191,10355,164,2922,0.7063945270537683,0.6713349392190914,-0.035059587834676886
forged__62663,62663,11596,19250,21729,2479,2893,0.5923620566686119,0.5836459114778695,-0.008716145190742375
forged__21851,21851,2561,4289,3376,-913,2857,0.39474452554744527,0.4763348492504632,0.08159032370301794
forged__43085,43085,4092,10972,12318,1346,2802,0.5423526287838556,0.4981109079829372,-0.04424172080091837
forged__44778,44778,6168,8004,8099,95,2729,0.4360711261642676,0.43569075488890446,-0.00038037127536311166
forged__12879,12879,5171,5408,4624,-784,2710,0.45845543056999716,0.5178152118427769,0.059359781272779744
forged__58338,58338,5133,12346,11855,-491,2695,0.5806968362034441,0.6034848128090416,0.022787976605597504
forged__8074,8074,14693,20797,19637,-1160,2682,0.809636517328825,0.8380425284008156,0.02840601107199059
forged__8733,8733,6734,15271,16402,1131,2669,0.5968643490115882,0.5704529737206085,-0.0264113752909797
forged__50158,50158,12442,8980,9523,543,2645,0.6321538605172253,0.6020487138629638,-0.03010514665426156
forged__7411,7411,5712,13723,12859,-864,2602,0.5739130434782609,0.6037370093155996,0.029823965837338706
forged__32973,32973,23284,39753,41503,1750,2562,0.7168171074131066,0.7037831663759705,-0.013033941037136065
forged__53927,53927,6018,7844,8079,235,2557,0.3132304140816621,0.32276370859048026,0.00953329450881818
forged__42035,42035,3101,4987,3680,-1307,2551,0.6933728981206726,0.7689131396549181,0.07554024153424554
forged__64128,64128,9135,17812,17001,-811,2495,0.538464393067874,0.5313743495561677,-0.007090043511706279
forged__33343,33343,5165,7933,7081,-852,2434,0.6875858909757215,0.6722195002449779,-0.01536639073074364
forged__48981,48981,7126,19487,18408,-1079,2365,0.5274114154736407,0.5529098456959348,0.025498430222294144
forged__4957,4957,6588,9538,9622,84,2358,0.6218529083467692,0.5967921036397286,-0.02506080470704064
forged__54710,54710,5465,8984,8500,-484,2344,0.7271091425012112,0.6612244897959184,-0.06588465270529276
forged__8259,8259,4139,6532,5626,-906,2330,0.7556929997188642,0.7020993343573989,-0.05359366536146526
forged__18000,18000,4284,9987,10321,334,2318,0.3001891948707168,0.29332420403971243,-0.006864990831004392
forged__32139,32139,6894,6058,5728,-330,2316,0.7469116738727609,0.6799239423229282,-0.06698773154983273
forged__18995,18995,6468,16082,15347,-735,2313,0.5605321507760532,0.5836351134540454,0.023102962677992167
forged__33985,33985,11267,8020,6686,-1334,2284,0.5156841395758801,0.40639447446109284,-0.10928966511478727
forged__44555,44555,4583,9899,11426,1527,2273,0.31487363623808867,0.28583921544131424,-0.02903442079677443
forged__13893,13893,4607,7288,6769,-519,2271,0.7683900798654897,0.6649085794655415,-0.10348150039994819
forged__51345,51345,2969,3500,2326,-1174,2238,0.67552944813727,0.5646836638338055,-0.11084578430346448
forged__31468,31468,4483,4303,3540,-763,2187,0.5199180514454814,0.5748473139723296,0.054929262526848155
forged__17754,17754,4571,6874,8332,1458,2148,0.25513324595893405,0.24769433465085638,-0.007438911308077667
forged__33295,33295,5616,9451,10089,638,2114,0.36689453773146613,0.35631964342566064,-0.010574894305805493
forged__14114,14114,9550,14167,13260,-907,2111,0.6870177509803095,0.6531345900920649,-0.03388316088824461
